rating,date_published,user,is_user,platform,game_id
7,2007-06-28,cLeQRAxyT,32,Wii,25103
7,2007-06-30,Waf2R,33,Wii,25103
4,2007-07-06,C1K6qg39CmPEM,34,Wii,25103
8,2007-07-12,uRjXnAwws5,35,Wii,25103
2,2007-07-16,71ttd7JFrg7KYqu,36,Wii,25103
2,2007-07-18,7IhbgJZ1msGbKV0A,37,Wii,25103
10,2007-07-24,cIHFrIQSeyw4nj,38,Wii,25103
8,2007-07-27,Vce9Tslw,39,Wii,25103
8,2007-07-31,y8rqTX5XBoCn,40,Wii,25103
2,2007-08-04,2SofwiM1O5,41,Wii,25103
6,2007-08-07,aTFU25uRsw4U5xzXRC,42,Wii,25103
4,2007-08-10,C1oqvVstY,43,Wii,25103
4,2007-08-17,UkyaN82psYKXQo,44,Wii,25103
4,2007-08-15,4dWnNWYswLyDS8R,45,Wii,25103
3,2007-08-24,fnBhR5K46fBtZWgGn,46,Wii,25103
1,2007-08-24,WxV5EIskm6xnpylX,47,Wii,25103
3,2007-08-31,bbS6Z42QqK4Et,48,Wii,25103
5,2007-09-05,XH1PV5YjBjNKoND,49,Wii,25103
3,2007-09-05,IuyXjlsWZYRlH5,50,Wii,25103
4,2007-09-14,g8FC7YsUOPOIvX1Gn,51,Wii,25103
5,2007-09-12,mBRZ6uPuoL8Q0f4e9PK,52,Wii,25103
1,2007-09-17,Z0KbM12B3zAy3mbMnD8x,53,Wii,25103
2,2007-09-22,KcbJ6m5bmUw,54,Wii,25103
3,2007-09-27,qlvhpP5octisFo9fFk,55,Wii,25103
2,2007-10-03,cgJvyEWQszE5MutSMI,56,Wii,25103
4,2007-10-05,z0R6ozQoPbwf6J8Tq31V,57,Wii,25103
5,2007-10-11,oU2HL0mteDJ058KjgxIR,58,Wii,25103
8,2007-10-15,wVOrV49cqx,59,Wii,25103
4,2007-10-16,YQYO5PhliMtbQ,60,Wii,25103
2,2007-10-22,lTf5XA6o0DYzKRO,61,Wii,25103
1,2007-10-25,tZMrqr3gPpdtlpHj,62,Wii,25103
9,2007-10-24,CYGpR4Lpv,63,Wii,25103
4,2007-11-01,pf1rhLT4p,64,Wii,25103
10,2007-11-01,GXNLXa91yewCoP9lZxXU,65,Wii,25103
6,2007-11-05,UmztJs0YM3Dh3Gk,66,Wii,25103
10,2007-11-09,tVBIIEUTU,67,Wii,25103
8,2007-11-17,R6ckqNL7HA0,68,Wii,25103
6,2007-11-23,BB4pBDgNOqpBzTXsb,69,Wii,25103
2,2007-11-26,gXeWznUxepVVdZw,70,Wii,25103
2,2007-11-29,eg1GdQBcD,71,Wii,25103
10,2007-11-30,v2QwRO,72,Wii,25103
8,2007-12-08,HN78LeTY,73,Wii,25103
8,2007-12-09,b3PktqGb,74,Wii,25103
8,2007-12-10,LBuKfKzPX11jXx5ObwDN,75,Wii,25103
1,2007-12-15,drG8RXCY235VSmNHpu,76,Wii,25103
9,2007-12-20,z88W4zO0gL,77,Wii,25103
8,2007-12-26,SJvJ6ZCu3r,78,Wii,25103
2,2007-12-31,SmzX3GWSZ,79,Wii,25103
9,2008-01-02,6aEDXmeh,80,Wii,25103
8,2008-01-07,wuVWZkO8DFQ3qcYsYZ2I,81,Wii,25103
6,2008-01-09,EZrC5T3dYIg4VjPk,82,Wii,25103
4,2008-01-16,XGeLBQr,83,Wii,25103
9,2008-01-20,M4c2mmVTUr,84,Wii,25103
10,2008-01-22,bg7JCk1Ri1tX,85,Wii,25103
4,2008-01-27,YiAw0CAI4nWuLKI1uqg,86,Wii,25103
1,2008-01-28,NAIoaWDFLQM5vwEkWjH,87,Wii,25103
4,2008-01-29,GIwnt099kbH,88,Wii,25103
3,2008-02-04,4JHZ5,89,Wii,25103
5,2008-02-12,3Mp7rM,90,Wii,25103
5,2008-02-15,SqWjnxeb,91,Wii,25103
4,2008-02-20,UPaiOISILer97ypAotl8,92,Wii,25103
8,2008-02-20,Lpd349,93,Wii,25103
5,2008-02-27,TxDFkkS,94,Wii,25103
2,2008-02-26,HkLkgE4gowYwp,95,Wii,25103
10,2008-03-03,I6GjN4TTjI09xa,96,Wii,25103
10,2008-03-05,mRPzd3JiJc47F,97,Wii,25103
1,2008-03-11,X40Esh5,98,Wii,25103
2,2008-03-14,mECz8,99,Wii,25103
5,2008-03-20,N7Bh4X26VY1RMZKnST9,100,Wii,25103
5,2008-03-21,ZdmArlGIuDrCos,101,Wii,25103
6,2008-03-29,0jYsaeuthJaedz,102,Wii,25103
5,2008-04-01,nXDqlk,103,Wii,25103
1,2008-04-06,GWQQUHvXJg,104,Wii,25103
7,2008-04-09,8lReZ1rnDyMfuMQ,105,Wii,25103
10,2008-04-11,YjAx46Tc7t1T,106,Wii,25103
10,2008-04-14,iz8wsbjzwpdcTt1gjCL,107,Wii,25103
4,2008-04-22,MDCgWV,108,Wii,25103
1,2008-04-22,mCiE0C0XgH85,109,Wii,25103
3,2008-04-30,GcPbqHi1IPLrIMc,110,Wii,25103
10,2008-04-29,18j7h,111,Wii,25103
4,2008-05-03,h6qChJlM9o1IBdFvY5PV,112,Wii,25103
6,2008-05-08,5tea3tRLLZ,113,Wii,25103
10,2008-05-14,ghmWy5G73fhXj6HId,114,Wii,25103
10,2008-05-18,yrder,115,Wii,25103
10,2008-05-20,ZuItXqQslaOmB5VOHd1,116,Wii,25103
3,2008-05-25,r3ImBk3p,117,Wii,25103
6,2008-05-31,6PP8OJyP,118,Wii,25103
9,2008-05-29,hrn6sbhG,119,Wii,25103
6,2008-06-05,GWWuv5blXUDTJQsts,120,Wii,25103
4,2008-06-09,WPibtu3g5nb0p,121,Wii,25103
10,2008-06-15,13gWWpf,122,Wii,25103
2,2008-06-14,oIWyuDxtiQhuy,123,Wii,25103
4,2008-06-22,9nCoVLef,124,Wii,25103
4,2008-06-26,2I8YHmtn,125,Wii,25103
5,2008-06-29,jhNWYJnf,126,Wii,25103
9,2008-06-29,7omEjhQPGh,127,Wii,25103
4,2008-07-03,wANu0M,128,Wii,25103
3,2008-07-11,VY9uPcHsa0q,129,Wii,25103
7,2008-07-17,4JTSms,130,Wii,25103
9,2008-07-16,HQBuxvbyAXWSKRH,131,Wii,25103
7,2008-07-22,heZnwheT,132,Wii,25103
4,2008-07-23,YqdrMPid5IXgWZYQ,133,Wii,25103
1,2008-07-30,Yaq2o,134,Wii,25103
7,2008-07-31,orsSxePrp0,135,Wii,25103
7,2008-08-05,0i8O3iD9WNrIKN,136,Wii,25103
5,2008-08-13,VMSV0wp,137,Wii,25103
5,2008-08-17,df4sMl,138,Wii,25103
2,2008-08-15,uUAKzgRbUmLN8t5NpF,139,Wii,25103
6,2008-08-21,0DqQlwJE4p3Ux0SNklPm,140,Wii,25103
5,2008-08-24,gqafdQzesEVJi6wmyF,141,Wii,25103
10,2008-08-26,ON9N8aYOQuIQ0jdIL,142,Wii,25103
5,2008-09-04,4Jlgy,143,Wii,25103
7,2008-09-04,lE0tWuxKNDWrgt,144,Wii,25103
2,2008-09-08,tPxvFhdWayo,145,Wii,25103
1,2008-09-16,bam8Su,146,Wii,25103
10,2008-09-20,8DIdoamfRgUSO,147,Wii,25103
1,2008-09-19,dJyJUrcbdIwG5aeGZKm,148,Wii,25103
8,2008-09-23,IgqGTMCPjEx7,149,Wii,25103
2,2008-10-03,Zb8twtixQ0aM,150,Wii,25103
7,2008-10-04,UDSCW576N,151,Wii,25103
7,2008-10-08,HZ9MZwmH3NXJBZ2,152,Wii,25103
2,2008-10-14,79ebKi0lHOem,153,Wii,25103
10,2008-10-16,HoscY7Jqifdw,154,Wii,25103
7,2008-10-19,IFsnS,155,Wii,25103
5,2008-10-24,FQenEJtKPy,156,Wii,25103
4,2008-10-26,wMY5Q,157,Wii,25103
10,2008-11-01,8gMqg2W2bRjRw7g47E,158,Wii,25103
10,2008-11-01,vHGGhov06D2V,159,Wii,25103
7,2008-11-08,JCknHzROl,160,Wii,25103
8,2008-11-11,tEhid9fcttZ7TK4CQ59V,161,Wii,25103
4,2008-11-13,eo4Q6KR1VxN4wrbEAxc,162,Wii,25103
6,2008-11-22,YW72QvbRESetaJi,163,Wii,25103
10,2008-11-23,4g07h,164,Wii,25103
8,2008-11-29,ZoCg7coA0GL4iPfrDE,165,Wii,25103
4,2008-12-02,c9Cp8TkVt81,166,Wii,25103
7,2008-12-07,VrlrDOzKnzH3,167,Wii,25103
1,2008-12-08,xy8qAu,168,Wii,25103
8,2008-12-12,Y0RIj4nb,169,Wii,25103
2,2008-12-13,oNruriPtIYqqZGCmymVg,170,Wii,25103
4,2008-12-17,ZEEhyq26u0FXGA9pzw6,171,Wii,25103
10,2008-12-23,czrn4y5WfNgTrm,172,Wii,25103
4,2008-12-29,ymPqRgLyBbMwWozLbMoY,173,Wii,25103
6,2009-01-01,mlvlnJS17iF3EmR,174,Wii,25103
5,2009-01-08,5htSlBERlbfFvMrN,175,Wii,25103
4,2009-01-12,TIPNG4he1Pjt3vYxsa,176,Wii,25103
6,2009-01-15,TzZrlW9sWop,177,Wii,25103
1,2009-01-15,rGHwAP2GtYG,178,Wii,25103
1,2009-01-19,9HUfKk8a4O320kkGje6,179,Wii,25103
4,2009-01-23,9vaobaWy3fAxjIz,180,Wii,25103
9,2009-01-26,V5xH1CRtAT,181,Wii,25103
5,2009-02-02,db5RSQLJ0W9bx,182,Wii,25103
1,2009-02-07,BxIs5pIQVN7mb,183,Wii,25103
8,2009-02-08,w5TNb,184,Wii,25103
9,2009-02-10,3ffZu3HsT,185,Wii,25103
7,2009-02-13,FzwioGhAilE,186,Wii,25103
4,2009-02-21,Zvb4bqQKW1dENp,187,Wii,25103
6,2009-02-21,XvaegiHYAvS,188,Wii,25103
10,2009-02-27,qNLIqVAj,189,Wii,25103
10,2009-03-06,9J1Iwdmv,190,Wii,25103
3,2009-03-05,Bt5MATtMIx21Qs5uK,191,Wii,25103
7,2009-03-13,RQuySdb,192,Wii,25103
3,2009-03-19,gOsg6vFlmk,193,Wii,25103
5,2009-03-19,VOPc7,194,Wii,25103
8,2009-03-23,zLmfk,195,Wii,25103
8,2009-03-29,ootYo3oxV7fz,196,Wii,25103
5,2009-04-02,2UwiQbcElvc4xYP,197,Wii,25103
1,2009-04-01,1sQiDR,198,Wii,25103
6,2009-04-08,nd7t0O7DhnHOcfUM,199,Wii,25103
6,2009-04-10,zw2z7uSssa,200,Wii,25103
6,2009-04-17,gQzO3wF4fAwUplOfWQHo,201,Wii,25103
6,2009-04-19,nIkKV2TMrbpWVT1Yklu,202,Wii,25103
10,2009-04-21,PoCOATs1xqD61FzwY,203,Wii,25103
2,2009-04-24,ibIB12P5,204,Wii,25103
3,2009-05-02,knZxW,205,Wii,25103
4,2009-05-08,S4zQCFXhOPexsC,206,Wii,25103
1,2009-05-10,zu2J5qhCTKMYKfG56F8z,207,Wii,25103
5,2009-05-10,PeVjMJA,208,Wii,25103
7,2009-05-15,UzRLbAqgz9z7bD8n,209,Wii,25103
7,2009-05-20,1biKRtwrzL64Un2ln,210,Wii,25103
5,2009-05-26,zSRmbnKcxXBnfL2B,211,Wii,25103
6,2009-05-30,bsbr8PcZpT,212,Wii,25103
3,2009-05-31,mX201dD9jI,213,Wii,25103
10,2009-06-03,pGL4wZ,214,Wii,25103
5,2009-06-11,TAz8vGvZLuHmLccg,215,Wii,25103
4,2009-06-16,UdDNbX2kFGpP3YcIq,216,Wii,25103
2,2009-06-18,IjzS5iwKgS1Pk7,217,Wii,25103
9,2009-06-18,KFIPCo,218,Wii,25103
4,2009-06-25,snZjdPe4UWR,219,Wii,25103
3,2009-07-01,kVq4rCxOgA422,220,Wii,25103
7,2009-06-30,N0spelFQ,221,Wii,25103
8,2009-07-07,odZsJ,222,Wii,25103
9,2009-07-13,60F7lxoadBi,223,Wii,25103
3,2009-07-17,CTRLvrIkjmmGj0yCsl,224,Wii,25103
8,2009-07-18,NzBzV,225,Wii,25103
8,2009-07-23,AQjDB,226,Wii,25103
4,2009-07-27,u8jeOTZCg,227,Wii,25103
6,2009-07-31,CmH9YlqdBFDaWEkplgn,228,Wii,25103
2,2009-08-03,iG7jc,229,Wii,25103
2,2009-08-09,2r3myLH61KZiHh,230,Wii,25103
5,2009-08-11,idZZH2a3A,231,Wii,25103
5,2009-08-15,UPbyeWFUc2WREW0q,232,Wii,25103
6,2009-08-21,X67Gz2uTmW,233,Wii,25103
1,2009-08-23,XOqff,234,Wii,25103
4,2009-08-29,cWDj2DAjWRoOW7zue4,235,Wii,25103
7,2009-08-29,y6U3js9mGdk,236,Wii,25103
9,2009-09-05,SHilx5,237,Wii,25103
7,2009-09-05,lIeczLzC7a92KH539ibU,238,Wii,25103
10,2009-09-13,7OPFTz4,239,Wii,25103
4,2009-09-14,MMj71xb1eqGnm8QQFXTu,240,Wii,25103
2,2009-09-20,tf92ZzNu,241,Wii,25103
4,2009-09-25,eSKG7uYBVTCayEZVhh,242,Wii,25103
10,2009-09-28,BlTNWIc06HHVNIiJ2BLZ,243,Wii,25103
4,2009-09-28,NvJRy4OzEesiAhCH,244,Wii,25103
8,2009-10-04,hlAYj8K,245,Wii,25103
3,2009-10-05,2glzOWyq9rZN2,246,Wii,25103
4,2009-10-15,bk5TmJPeCudMoRC,247,Wii,25103
2,2009-10-17,j9J2kroV70KQTcTy,248,Wii,25103
9,2009-10-17,n9GTmQw,249,Wii,25103
3,2009-10-22,PGafx,250,Wii,25103
9,2009-10-28,GPMletB44K3BvMIK,251,Wii,25103
10,2009-10-28,5qCPuo2KS3cz,252,Wii,25103
4,2009-11-05,Q8QOybMlS6UCbI,253,Wii,25103
3,2009-11-09,2xG7hlObLnz1e0x,254,Wii,25103
4,2009-11-11,6VuY4JruZE6GMi9fr,255,Wii,25103
5,2009-11-18,ENfyMUJySMeHQRZQC6,256,Wii,25103
9,2009-11-19,QfewHsW51nc8FAAr,257,Wii,25103
8,2009-11-22,Akf4zcwBbb0vJWtyie1c,258,Wii,25103
2,2009-11-25,sBH0bl9FZRB,259,Wii,25103
4,2009-11-28,t72l1,260,Wii,25103
6,2009-12-04,DjTfWdcKcHxZ,261,Wii,25103
2,2009-12-06,KqQE0IbtQ,262,Wii,25103
5,2009-12-14,6xirfhkvTkGpG,263,Wii,25103
1,2009-12-16,S8B3hWr5FMUQ,264,Wii,25103
1,2009-12-22,EmB5gyPlEbAxGcRKcf,265,Wii,25103
1,2009-12-23,qa4ojArj,266,Wii,25103
5,2009-12-28,WJpCB,267,Wii,25103
1,2009-12-29,i9d9SXH4ri6IokA3q,268,Wii,25103
2,2010-01-02,pS3ODaCahEhtLv,269,Wii,25103
8,2010-01-10,XbjYA,270,Wii,25103
2,2010-01-14,ycyv0MeQkH,271,Wii,25103
9,2010-01-20,eZmtBMMZFyA65Gh,272,Wii,25103
7,2010-01-24,bkO37hacH,273,Wii,25103
9,2010-01-23,1XD71,274,Wii,25103
10,2010-01-30,m7y8Pj2bQ,275,Wii,25103
10,2010-01-30,fk1GksYCzT,276,Wii,25103
2,2010-02-06,fU3EVMzEKvVFFcWd,277,Wii,25103
1,2010-02-12,wRnYAPlCp,278,Wii,25103
7,2010-02-13,CYaGBshaG45eVW40i,279,Wii,25103
5,2010-02-14,O8YIodyhc2fGkImL,280,Wii,25103
8,2010-02-19,ZB8jS7KLlCX88T9L,281,Wii,25103
5,2010-02-23,MNTHso0qs5t,282,Wii,25103
10,2010-02-27,zSATNYay,283,Wii,25103
5,2010-03-04,3azIKv4Y8k6,284,Wii,25103
6,2010-03-08,Bgp1NKFtNwvnLA4,285,Wii,25103
2,2010-03-14,vShovg,286,Wii,25103
3,2010-03-18,uJsEeuDe,287,Wii,25103
9,2010-03-22,IC6XlMkesG30RfFqeH,288,Wii,25103
10,2010-03-22,SMKyaKeKgZV65rzzLZXO,289,Wii,25103
1,2010-03-31,89zrl,290,Wii,25103
8,2010-03-30,dDNAlssD3KhQd9,291,Wii,25103
4,2010-04-08,ZTB5NANAhQTD1,292,Wii,25103
10,2010-04-10,Ymwpwpnxh2tpu164btfZ,293,Wii,25103
3,2010-04-13,QuJc0EgzAJJXhIkC,294,Wii,25103
9,2010-04-14,p9ZLRRA3QpRgycYrRot1,295,Wii,25103
7,2010-04-18,fVhpZ,296,Wii,25103
7,2010-04-27,lXfNtM2,297,Wii,25103
3,2010-05-01,oQrLec,298,Wii,25103
7,2010-04-30,eA2oipa,299,Wii,25103
8,2010-05-08,4ZqAcqJsd7,300,Wii,25103
5,2010-05-10,bIiRM,301,Wii,25103
5,2010-05-14,fzpn7thg3zZtMEdLX5W7,302,Wii,25103
3,2010-05-20,4GDbMMoe7TehqPf,303,Wii,25103
5,2010-05-22,3JxaCxC43ivcrjOqJ,304,Wii,25103
10,2010-05-26,aHtdUjF8qO5V,305,Wii,25103
8,2010-05-30,2o5bZ3Jlnr,306,Wii,25103
7,2010-06-01,YdOpIz0U0gMdM,307,Wii,25103
9,2010-06-08,LP8zQ,308,Wii,25103
1,2010-06-11,kF9F9EYLBPo,309,Wii,25103
3,2010-06-16,W7FWkoYHVQ6iKZ8os,310,Wii,25103
1,2010-06-16,qXunNg6gXUMoq5eo,311,Wii,25103
7,2010-06-22,XJwNIPZe5MVeWqcZBuhJ,312,Wii,25103
6,2010-06-28,aLaH5TbGjTAbQ,313,Wii,25103
2,2010-06-29,IPcajc8JvZW,314,Wii,25103
4,2010-07-01,9IC90rDKHhYwwpZQpg,315,Wii,25103
1,2010-07-10,8VgvK3hJxqSWqC,316,Wii,25103
10,2010-07-11,sQ1Wmjvpgw1jyC,317,Wii,25103
2,2010-07-16,AFxhJw,318,Wii,25103
2,2010-07-22,xcpcAB,319,Wii,25103
10,2010-07-23,XmmTRJG,320,Wii,25103
7,2010-07-28,9ZDxFzYiSta,321,Wii,25103
8,2010-07-30,1HJnj4PV,322,Wii,25103
1,2010-08-04,RtMBNiiiXig6VMzZP7u,323,Wii,25103
1,2010-08-07,8BVeMdt5le5Gu,324,Wii,25103
3,2010-08-11,WIr3rOFN169DNjOu,325,Wii,25103
5,2010-08-14,uPGobZP9MRd,326,Wii,25103
10,2010-08-19,wskVtyN,327,Wii,25103
7,2010-08-22,xlBVYOXuxYfzVFUn,328,Wii,25103
9,2010-08-23,wTg4VLSuHN4O,329,Wii,25103
2,2010-08-31,7778u,330,Wii,25103
5,2010-09-06,sxxavSna6h,331,Wii,25103
7,2010-09-09,myFI74qwzAO7,332,Wii,25103
9,2010-09-12,H7lRrUnqOhRIC32xDhu,333,Wii,25103
10,2010-09-15,JgFdwD0WI,334,Wii,25103
2,2010-09-17,rpNcUEKIJQrP,335,Wii,25103
6,2010-09-22,WAX04m82OS5Vh,336,Wii,25103
4,2010-09-26,IUc9R8OiowTtrbq,337,Wii,25103
8,2010-09-30,v34xYz9P7Suu,338,Wii,25103
10,2010-10-07,ZHwjcSLps8kaqJ0xGDUQ,339,Wii,25103
9,2010-10-05,lNVd840Fu,340,Wii,25103
3,2010-10-13,U6FDfBf0wQygDwi,341,Wii,25103
9,2010-10-16,pzfdXgbRNOwT9,342,Wii,25103
9,2010-10-18,brs0oUrN7j,343,Wii,25103
4,2010-10-21,hDmFJitbCoezR,344,Wii,25103
8,2010-10-30,LG2XG2,345,Wii,25103
6,2010-10-28,BK5l8fq5e,346,Wii,25103
2,2010-11-07,YYSdezcY,347,Wii,25103
9,2010-11-07,eGChJXoD,348,Wii,25103
5,2010-11-15,i0LFwgdCrsgDr092,349,Wii,25103
8,2010-11-18,ij69OYrD7FPH05cN,350,Wii,25103
3,2010-11-22,iltSYhkN,351,Wii,25103
8,2010-11-22,xUTVJXBsdVkb9zc1aj,352,Wii,25103
9,2010-11-28,EEBo3TPA,353,Wii,25103
6,2010-12-05,OtopUPsL3L6HYERpBk,354,Wii,25103
1,2010-12-05,iL9iu2gvXP,355,Wii,25103
7,2010-12-11,32z0U2v8WPK,356,Wii,25103
3,2010-12-14,RmsB4mZNMoAwWH3VoOxT,357,Wii,25103
5,2010-12-19,wyurCfKY5nZPVYwf6a,358,Wii,25103
6,2010-12-19,7MoUMYnKbUDfbzzU09Ob,359,Wii,25103
1,2010-12-26,6NyzcOeiyihol,360,Wii,25103
6,2011-01-01,jtoA66Dm6fs8N1dAmrov,361,Wii,25103
6,2011-01-04,1zQX9kTo17vrC,362,Wii,25103
4,2011-01-08,GREa2eFFRaUyNBqKN,363,Wii,25103
5,2011-01-09,VmD36Qm3PVqoaOb,364,Wii,25103
1,2011-01-13,xlfHPx,365,Wii,25103
3,2011-01-18,Sty21xZeTpMb,366,Wii,25103
2,2011-01-21,r1ixqx6xXT,367,Wii,25103
4,2011-01-27,oCJU5,368,Wii,25103
9,2011-01-29,zmliMmb0BO41Sp,369,Wii,25103
3,2011-02-01,Hl9VbdCcIQVBWhuPCq,370,Wii,25103
7,2011-02-07,KFM6R4Gd,371,Wii,25103
7,2011-02-13,rozDMyu7S,372,Wii,25103
5,2011-02-13,abAjxDy9F,373,Wii,25103
2,2011-02-17,Mh12hY2xCHgY,374,Wii,25103
3,2011-02-20,epjQUt9XaSOJ,375,Wii,25103
6,2011-02-23,YYKop7uiPAAxNbua,376,Wii,25103
3,2011-02-26,aPYk4dY3p6rWxNXLC,377,Wii,25103
4,2011-03-05,7dkQGJ2VaDVLVO,378,Wii,25103
6,2011-03-07,ltAGGWZ,379,Wii,25103
1,2011-03-13,tOyOhYwDwXsWS,380,Wii,25103
4,2011-03-15,NNQaII,381,Wii,25103
7,2011-03-20,FFQJeWXQmmJ,382,Wii,25103
5,2011-03-22,I6cVVnyZyU0IfqG,383,Wii,25103
7,2011-03-29,mT3iDpEAHKAUSLP,384,Wii,25103
3,2011-04-03,7Zfte9WTwAtnSyz6e,385,Wii,25103
4,2011-04-08,zXPpBOjsmSFdbEmsb,386,Wii,25103
7,2011-04-10,b69crsRM0h,387,Wii,25103
8,2011-04-13,khuIO7SiOk09t,388,Wii,25103
1,2011-04-16,N6DNwh,389,Wii,25103
5,2011-04-19,mJTyAfwU8jjt8,390,Wii,25103
5,2011-04-23,2v2zZGIbHlCgAfiWx,391,Wii,25103
2,2011-04-30,jHUD9gUHSmoH4iIw,392,Wii,25103
9,2011-05-02,7OBERw7ZQBW,393,Wii,25103
7,2011-05-04,k6fqV1A9o8JU,394,Wii,25103
7,2011-05-12,vCnJs5Y,395,Wii,25103
9,2011-05-14,j2ozQtcLDn,396,Wii,25103
9,2011-05-15,tYL7qAF,397,Wii,25103
2,2011-05-21,PBcRtmTGahX3zOb2Vm,398,Wii,25103
5,2011-05-25,cJm72H,399,Wii,25103
6,2011-05-29,HXNFj,400,Wii,25103
6,2011-06-04,PDj2arq6Fpl4FpEYlrS,401,Wii,25103
4,2011-06-05,dratIDW,402,Wii,25103
6,2011-06-08,7oH6oh2ng,403,Wii,25103
3,2011-06-11,2XI7qOmdb,404,Wii,25103
8,2011-06-21,RGyc88yKCTbZ1,405,Wii,25103
6,2011-06-22,VPxxozIl9,406,Wii,25103
7,2011-06-26,MIpgof7y6PKQ,407,Wii,25103
8,2011-06-28,uMjqKj4XQXWO,408,Wii,25103
6,2011-07-03,HPI4jZY74t,409,Wii,25103
8,2011-07-08,SlgNwzCK4A6j,410,Wii,25103
5,2011-07-10,8FkdjEAspnDQpiKs,411,Wii,25103
4,2011-07-12,ecCb3,412,Wii,25103
6,2011-07-19,3YYnE,413,Wii,25103
5,2011-07-23,PPonJ,414,Wii,25103
6,2011-07-27,zGtoX7BvyOihPH,415,Wii,25103
3,2011-07-28,wKeHL,416,Wii,25103
3,2011-08-07,NzETcb2PGbYVC1b,417,Wii,25103
5,2011-08-09,RGuxB7MtcxRhvG9oFi,418,Wii,25103
8,2011-08-10,wFrSiCaeE22dMM,419,Wii,25103
3,2011-08-15,GMfppBdUryyg,420,Wii,25103
5,2011-08-16,WdyL4pi4TBTOw,421,Wii,25103
9,2011-08-24,YY0vDS1JIFpg4cG1E9Ue,422,Wii,25103
2,2011-08-24,xj8mdGT8H39UD,423,Wii,25103
2,2011-08-28,WjzCvg,424,Wii,25103
3,2011-09-05,ZreazOtaiyL1,425,Wii,25103
7,2011-09-08,IKDGrrYhSdD4sPYDhf,426,Wii,25103
3,2011-09-08,79uhfN,427,Wii,25103
9,2011-09-17,OuOsUJOsouW0xtVTG,428,Wii,25103
5,2011-09-22,FBTdHzM9S,429,Wii,25103
4,2011-09-22,irqUk4s,430,Wii,25103
4,2011-09-25,ouDBJ,431,Wii,25103
5,2011-09-30,muv2fby,432,Wii,25103
6,2011-10-04,4FkOBaiZfn,433,Wii,25103
4,2011-10-07,AXDZinZ0gVNKuRdkZoC,434,Wii,25103
8,2011-10-10,HLI23Sb2bR0I,435,Wii,25103
6,2011-10-18,ldiYixHQsQ,436,Wii,25103
5,2011-10-22,BTMa9,437,Wii,25103
9,2011-10-21,lvVA44oV,438,Wii,25103
4,2011-10-26,Qn9rW,439,Wii,25103
4,2011-11-02,t9G7DnO,440,Wii,25103
4,2011-11-02,VadQRyq,441,Wii,25103
7,2011-11-08,fOMMO29CRWxae1c2,442,Wii,25103
9,2011-11-10,CrLegDe,443,Wii,25103
7,2011-11-19,Dw8EkzHxoKxiRY,444,Wii,25103
4,2011-11-23,xVE3c,445,Wii,25103
4,2011-11-25,87QEJ,446,Wii,25103
5,2011-11-25,DVhXXKw1,447,Wii,25103
8,2011-12-01,OzfiLGSme3stshuY,448,Wii,25103
9,2011-12-09,8MLV32Uf2HLR7xyQbuuy,449,Wii,25103
5,2011-12-09,C37yINn68lZqwL,450,Wii,25103
4,2011-12-15,wUsdjEdSkXmzRcmCxA,451,Wii,25103
8,2011-12-18,yh7NNRM8zx,452,Wii,25103
3,2011-12-24,I8H4ND06ac0,453,Wii,25103
4,2011-12-24,4Jpo7u8rcd,454,Wii,25103
5,2012-01-01,3cRGBKTbTR44okU,455,Wii,25103
